cycle,total_nodes,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,tgc,elite_drift,newborn_survival
186,6851,9,9,0,5539,0.965205,0.020879,0.085969,0.001243,0.004227,1.0000
187,6861,11,11,0,5550,0.965142,0.020922,0.085446,0.001335,0.004319,1.0000
188,6871,11,11,0,5561,0.965296,0.020821,0.085109,0.001398,0.004373,1.0000
189,6881,9,9,0,5570,0.965442,0.020731,0.084767,0.001357,0.004255,1.0000
190,6891,8,8,0,5578,0.965382,0.020771,0.084298,0.001286,0.004491,1.0000
191,6901,5,5,0,5583,0.965236,0.020858,0.083741,0.001110,0.004589,1.0000
192,6911,8,8,0,5591,0.964786,0.021137,0.083081,0.001112,0.004643,1.0000
193,6921,10,10,0,5601,0.964615,0.021255,0.082576,0.001197,0.004820,1.0000
194,6931,6,6,0,5607,0.964668,0.021217,0.082155,0.001088,0.005317,1.0000
195,6941,14,14,0,5621,0.964314,0.021439,0.081537,0.001345,0.005138,1.0000
196,6951,10,10,0,5631,0.964763,0.021157,0.081347,0.001358,0.005116,1.0000
197,6961,12,12,0,5643,0.964812,0.021125,0.081011,0.001450,0.004978,1.0000
198,6971,11,11,0,5654,0.965070,0.020954,0.080745,0.001472,0.004959,1.0000
199,6981,9,9,0,5663,0.965197,0.020888,0.080440,0.001403,0.005193,1.0000
200,6991,10,10,0,5673,0.965158,0.020902,0.080002,0.001397,0.005553,1.0000
201,7001,8,8,0,5681,0.965205,0.020870,0.079657,0.001308,0.005521,1.0000
202,7011,9,9,0,5690,0.965043,0.020981,0.079153,0.001288,0.005627,1.0000
203,7021,15,15,0,5705,0.964986,0.021019,0.078717,0.001520,0.005444,1.0000
204,7031,13,13,0,5718,0.965530,0.020675,0.078648,0.001599,0.005401,1.0000
205,7041,8,8,0,5726,0.965895,0.020430,0.078478,0.001449,0.005608,1.0000
206,7051,9,9,0,5735,0.965740,0.020529,0.078017,0.001384,0.005731,1.0000
207,7061,5,5,0,5740,0.965695,0.020552,0.077637,0.001174,0.005909,1.0000
208,7071,10,10,0,5750,0.965226,0.020860,0.077007,0.001231,0.005797,1.0000
209,7081,8,8,0,5758,0.965262,0.020844,0.076668,0.001189,0.006203,1.0000
210,7091,8,8,0,5766,0.965123,0.020924,0.076202,0.001159,0.005820,1.0000
211,7101,14,14,0,5780,0.964962,0.021033,0.075718,0.001382,0.006046,1.0000
212,7111,7,7,0,5787,0.965407,0.020747,0.075536,0.001253,0.006311,1.0000
213,7121,9,9,0,5796,0.965176,0.020884,0.075002,0.001243,0.006502,1.0000
214,7131,6,6,0,5802,0.965124,0.020915,0.074608,0.001114,0.006876,1.0000
215,7141,12,12,0,5814,0.964750,0.021170,0.074070,0.001266,0.007073,1.0000
216,7151,9,9,0,5823,0.964982,0.021029,0.073826,0.001250,0.008209,1.0000
217,7161,9,9,0,5832,0.964934,0.021056,0.073402,0.001239,0.008989,1.0000
218,7171,6,6,0,5838,0.964870,0.021102,0.073015,0.001110,0.009741,1.0000
219,7181,14,14,0,5852,0.964525,0.021322,0.072490,0.001341,0.009877,1.0000
220,7191,7,7,0,5859,0.964972,0.021031,0.072384,0.001220,0.010001,1.0000
221,7201,13,13,0,5872,0.964724,0.021190,0.071850,0.001377,0.009244,1.0000
222,7211,14,14,0,5886,0.965079,0.020954,0.071688,0.001526,0.011703,1.0000
223,7221,7,7,0,5893,0.965493,0.020704,0.071585,0.001349,0.011676,1.0000
224,7231,12,12,0,5905,0.965238,0.020869,0.071085,0.001425,0.010189,1.0000
225,7241,11,11,0,5916,0.965489,0.020706,0.070847,0.001437,0.009255,1.0000
226,7251,10,10,0,5926,0.965633,0.020612,0.070592,0.001406,0.009605,1.0000
227,7261,15,15,0,5941,0.965688,0.020569,0.070270,0.001582,0.010011,1.0000
228,7271,5,5,0,5946,0.966223,0.020223,0.070209,0.001307,0.010827,1.0000
229,7281,9,9,0,5955,0.965773,0.020517,0.069663,0.001273,0.011551,1.0000
230,7291,9,9,0,5964,0.965729,0.020538,0.069266,0.001249,0.011770,1.0000
231,7301,4,4,0,5968,0.965675,0.020575,0.068905,0.001033,0.013820,1.0000
232,7311,7,7,0,5975,0.965162,0.020888,0.068277,0.001000,0.012954,1.0000
233,7321,10,10,0,5985,0.964903,0.021065,0.067788,0.001096,0.013591,1.0000
234,7331,10,10,0,5995,0.964936,0.021051,0.067448,0.001162,0.014909,1.0000
235,7341,12,12,0,6007,0.964969,0.021038,0.067163,0.001286,0.013853,1.0000
236,7351,7,7,0,6014,0.965205,0.020887,0.066931,0.001176,0.013947,1.0000
237,7361,11,11,0,6025,0.964942,0.021067,0.066460,0.001256,0.013603,1.0000
238,7371,7,7,0,6032,0.965079,0.020982,0.066209,0.001154,0.014382,1.0000
239,7381,11,11,0,6043,0.964822,0.021155,0.065774,0.001239,0.014822,1.0000
240,7391,15,15,0,6058,0.964982,0.021042,0.065554,0.001455,0.013761,1.0000
241,7401,8,8,0,6066,0.965507,0.020705,0.065510,0.001332,0.014640,1.0000
242,7411,10,10,0,6076,0.965386,0.020767,0.065154,0.001323,0.014871,1.0000
243,7421,10,10,0,6086,0.965410,0.020764,0.064830,0.001316,0.015991,1.0000
244,7431,10,10,0,6096,0.965460,0.020728,0.064528,0.001311,0.017362,1.0000
245,7441,8,8,0,6104,0.965493,0.020714,0.064229,0.001229,0.018394,1.0000
246,7451,15,15,0,6119,0.965328,0.020830,0.063818,0.001443,0.018603,1.0000
247,7461,11,11,0,6130,0.965882,0.020456,0.063748,0.001438,0.019101,1.0000
248,7471,9,9,0,6139,0.966039,0.020344,0.063481,0.001355,0.018840,1.0000
249,7481,7,7,0,6146,0.966000,0.020360,0.063122,0.001220,0.019932,1.0000
250,7491,9,9,0,6155,0.965759,0.020513,0.062661,0.001202,0.019729,1.0000
251,7501,13,13,0,6168,0.965712,0.020542,0.062348,0.001344,0.019742,1.0000
252,7511,15,15,0,6183,0.966016,0.020359,0.062189,0.001519,0.019069,1.0000
253,7521,8,8,0,6191,0.966524,0.020036,0.062105,0.001372,0.018100,1.0000
254,7531,10,10,0,6201,0.966385,0.020121,0.061730,0.001345,0.018057,1.0000
255,7541,15,15,0,6216,0.966417,0.020107,0.061394,0.001518,0.017268,1.0000
256,7551,12,12,0,6228,0.966906,0.019805,0.061302,0.001524,0.016575,1.0000
257,7561,10,10,0,6238,0.967179,0.019603,0.061075,0.001450,0.017585,1.0000
258,7571,9,9,0,6247,0.967215,0.019582,0.060769,0.001360,0.017151,1.0000
259,7581,11,11,0,6258,0.967163,0.019615,0.060399,0.001373,0.017220,1.0000
260,7591,8,8,0,6266,0.967304,0.019519,0.060126,0.001267,0.018281,1.0000
261,7601,7,7,0,6273,0.967163,0.019606,0.059728,0.001154,0.020450,1.0000
262,7611,12,12,0,6285,0.966936,0.019746,0.059283,0.001265,0.029215,1.0000
263,7621,10,10,0,6295,0.967170,0.019591,0.059048,0.001266,0.029141,1.0000
264,7631,12,12,0,6307,0.967206,0.019568,0.058747,0.001343,0.029062,1.0000
