cycle,total_nodes,sacrificed,nodes_created,signal_killed,noise_killed,mean_vitality,variance_vitality,mean_energy,tgc,elite_drift,newborn_survival
195,6941,14,14,0,5621,0.964444,0.021447,0.081545,0.001345,0.004305,1.0000
196,6951,10,10,0,5631,0.964892,0.021165,0.081364,0.001358,0.004442,1.0000
197,6961,12,12,0,5643,0.964942,0.021133,0.081042,0.001450,0.004334,1.0000
198,6971,11,11,0,5654,0.965200,0.020963,0.080781,0.001472,0.004107,1.0000
199,6981,9,9,0,5663,0.965326,0.020896,0.080477,0.001404,0.004276,1.0000
200,6991,10,10,0,5673,0.965288,0.020910,0.080027,0.001397,0.004590,1.0000
201,7001,8,8,0,5681,0.965335,0.020879,0.079684,0.001309,0.004545,1.0000
202,7011,9,9,0,5690,0.965172,0.020990,0.079175,0.001288,0.004747,1.0000
203,7021,15,15,0,5705,0.965115,0.021027,0.078727,0.001520,0.004838,1.0000
204,7031,13,13,0,5718,0.965659,0.020683,0.078642,0.001600,0.004964,1.0000
205,7041,8,8,0,5726,0.966024,0.020438,0.078463,0.001449,0.005118,1.0000
206,7051,9,9,0,5735,0.965869,0.020537,0.077998,0.001384,0.005235,1.0000
207,7061,5,5,0,5740,0.965824,0.020560,0.077614,0.001174,0.005647,1.0000
208,7071,10,10,0,5750,0.965356,0.020869,0.076976,0.001231,0.005147,1.0000
209,7081,8,8,0,5758,0.965392,0.020852,0.076636,0.001189,0.005213,1.0000
210,7091,8,8,0,5766,0.965253,0.020932,0.076162,0.001159,0.005375,1.0000
211,7101,14,14,0,5780,0.965092,0.021042,0.075673,0.001382,0.005671,1.0000
212,7111,7,7,0,5787,0.965537,0.020756,0.075490,0.001253,0.005977,1.0000
213,7121,9,9,0,5796,0.965306,0.020892,0.074955,0.001243,0.006506,1.0000
214,7131,6,6,0,5802,0.965254,0.020923,0.074567,0.001114,0.006899,1.0000
215,7141,12,12,0,5814,0.964880,0.021178,0.074030,0.001266,0.007049,1.0000
216,7151,9,9,0,5823,0.965112,0.021037,0.073798,0.001251,0.007923,1.0000
217,7161,9,9,0,5832,0.965064,0.021064,0.073380,0.001239,0.008251,1.0000
218,7171,6,6,0,5838,0.965001,0.021111,0.073002,0.001110,0.008999,1.0000
219,7181,14,14,0,5852,0.964656,0.021330,0.072475,0.001341,0.009407,1.0000
220,7191,7,7,0,5859,0.965103,0.021040,0.072376,0.001221,0.009025,1.0000
221,7201,13,13,0,5872,0.964856,0.021198,0.071835,0.001377,0.009276,1.0000
222,7211,14,14,0,5886,0.965210,0.020963,0.071663,0.001526,0.010970,1.0000
223,7221,7,7,0,5893,0.965624,0.020712,0.071560,0.001349,0.011858,1.0000
224,7231,12,12,0,5905,0.965370,0.020878,0.071064,0.001425,0.010734,1.0000
225,7241,11,11,0,5916,0.965620,0.020714,0.070838,0.001438,0.009515,1.0000
226,7251,10,10,0,5926,0.965763,0.020620,0.070580,0.001406,0.009110,1.0000
227,7261,15,15,0,5941,0.965819,0.020577,0.070277,0.001583,0.009392,1.0000
228,7271,5,5,0,5946,0.966354,0.020231,0.070236,0.001307,0.010788,1.0000
229,7281,9,9,0,5955,0.965903,0.020525,0.069696,0.001273,0.011888,1.0000
230,7291,9,9,0,5964,0.965860,0.020546,0.069307,0.001249,0.011858,1.0000
231,7301,4,4,0,5968,0.965806,0.020583,0.068956,0.001033,0.013424,1.0000
232,7311,7,7,0,5975,0.965294,0.020896,0.068333,0.001000,0.012110,1.0000
233,7321,10,10,0,5985,0.965034,0.021073,0.067854,0.001096,0.012660,1.0000
234,7331,10,10,0,5995,0.965067,0.021060,0.067527,0.001162,0.012791,1.0000
235,7341,12,12,0,6007,0.965100,0.021046,0.067250,0.001287,0.012125,1.0000
236,7351,7,7,0,6014,0.965337,0.020895,0.067022,0.001176,0.012264,1.0000
237,7361,11,11,0,6025,0.965075,0.021075,0.066550,0.001256,0.012428,1.0000
238,7371,7,7,0,6032,0.965212,0.020990,0.066289,0.001154,0.012572,1.0000
239,7381,11,11,0,6043,0.964955,0.021164,0.065843,0.001239,0.012723,1.0000
240,7391,15,15,0,6058,0.965115,0.021051,0.065621,0.001455,0.012523,1.0000
241,7401,8,8,0,6066,0.965639,0.020713,0.065569,0.001332,0.013371,1.0000
242,7411,10,10,0,6076,0.965519,0.020775,0.065218,0.001323,0.013343,1.0000
243,7421,10,10,0,6086,0.965542,0.020772,0.064893,0.001316,0.014347,1.0000
244,7431,10,10,0,6096,0.965593,0.020736,0.064581,0.001311,0.016088,1.0000
245,7441,8,8,0,6104,0.965625,0.020722,0.064294,0.001229,0.016982,1.0000
246,7451,15,15,0,6119,0.965461,0.020838,0.063872,0.001444,0.016932,1.0000
247,7461,11,11,0,6130,0.966015,0.020464,0.063802,0.001438,0.017468,1.0000
248,7471,9,9,0,6139,0.966172,0.020352,0.063535,0.001356,0.017368,1.0000
249,7481,7,7,0,6146,0.966133,0.020368,0.063170,0.001220,0.018318,1.0000
250,7491,9,9,0,6155,0.965892,0.020521,0.062713,0.001202,0.018214,1.0000
251,7501,13,13,0,6168,0.965845,0.020550,0.062400,0.001344,0.018201,1.0000
252,7511,15,15,0,6183,0.966149,0.020367,0.062240,0.001519,0.017483,1.0000
253,7521,8,8,0,6191,0.966655,0.020044,0.062155,0.001372,0.016840,1.0000
254,7531,10,10,0,6201,0.966517,0.020129,0.061791,0.001345,0.016977,1.0000
255,7541,15,15,0,6216,0.966549,0.020115,0.061459,0.001519,0.015685,1.0000
256,7551,12,12,0,6228,0.967038,0.019813,0.061370,0.001524,0.014575,1.0000
257,7561,10,10,0,6238,0.967312,0.019611,0.061145,0.001451,0.015296,1.0000
258,7571,9,9,0,6247,0.967347,0.019590,0.060829,0.001360,0.015850,1.0000
259,7581,11,11,0,6258,0.967296,0.019623,0.060462,0.001373,0.015572,1.0000
260,7591,8,8,0,6266,0.967437,0.019527,0.060187,0.001267,0.016440,1.0000
261,7601,7,7,0,6273,0.967297,0.019614,0.059804,0.001154,0.029080,1.0000
262,7611,12,12,0,6285,0.967071,0.019754,0.059358,0.001265,0.028977,1.0000
263,7621,10,10,0,6295,0.967304,0.019598,0.059123,0.001267,0.028870,1.0000
264,7631,12,12,0,6307,0.967341,0.019576,0.058816,0.001343,0.028817,1.0000
265,7641,4,4,0,6311,0.967580,0.019415,0.058587,0.001092,0.029040,1.0000
266,7651,13,13,0,6324,0.967069,0.019742,0.058006,0.001257,0.029009,1.0000
267,7661,6,6,0,6330,0.967386,0.019537,0.057845,0.001107,0.029256,1.0000
268,7671,10,10,0,6340,0.967056,0.019751,0.057386,0.001153,0.029420,1.0000
269,7681,9,9,0,6349,0.967091,0.019733,0.057116,0.001147,0.029552,1.0000
270,7691,9,9,0,6358,0.967049,0.019753,0.056794,0.001143,0.029714,1.0000
271,7701,5,5,0,6363,0.966993,0.019793,0.056476,0.000988,0.029965,1.0000
272,7711,11,11,0,6374,0.966587,0.020047,0.055986,0.001105,0.029958,1.0000
273,7721,7,7,0,6381,0.966709,0.019973,0.055738,0.001037,0.029992,1.0000
274,7731,12,12,0,6393,0.966501,0.020092,0.055326,0.001176,0.029925,1.0000
275,7741,8,8,0,6401,0.966717,0.019959,0.055157,0.001123,0.030129,1.0000
276,7751,12,12,0,6413,0.966562,0.020066,0.054832,0.001235,0.029930,1.0000
277,7761,12,12,0,6425,0.966788,0.019918,0.054616,0.001313,0.029626,1.0000
278,7771,8,8,0,6433,0.966997,0.019790,0.054441,0.001218,0.029585,1.0000
279,7781,9,9,0,6442,0.966859,0.019878,0.054052,0.001188,0.029625,1.0000
280,7791,6,6,0,6448,0.966839,0.019871,0.053674,0.001055,0.029834,1.0000
281,7801,12,12,0,6460,0.966521,0.020074,0.053208,0.001184,0.029821,1.0000
282,7811,11,11,0,6471,0.966735,0.019941,0.052974,0.001238,0.029615,1.0000
283,7821,8,8,0,6479,0.966850,0.019877,0.052736,0.001163,0.029577,1.0000
284,7831,11,11,0,6490,0.966697,0.019983,0.052361,0.001221,0.029436,1.0000
285,7841,13,13,0,6503,0.966842,0.019881,0.052126,0.001336,0.029402,1.0000
286,7851,8,8,0,6511,0.967158,0.019673,0.051969,0.001231,0.029305,1.0000
287,7861,7,7,0,6518,0.967007,0.019778,0.051633,0.001120,0.029492,1.0000
288,7871,8,8,0,6526,0.966786,0.019914,0.051240,0.001079,0.029590,1.0000
289,7881,5,5,0,6531,0.966652,0.019996,0.050857,0.000939,0.029796,1.0000
290,7891,8,8,0,6539,0.966245,0.020256,0.050403,0.000951,0.029614,1.0000
291,7901,10,10,0,6549,0.966090,0.020366,0.050083,0.001033,0.029732,1.0000
292,7911,6,6,0,6555,0.966132,0.020339,0.049828,0.000943,0.029903,1.0000
293,7921,6,6,0,6561,0.965803,0.020557,0.049406,0.000879,0.030152,1.0000
294,7931,5,5,0,6566,0.965474,0.020776,0.049026,0.000798,0.030428,1.0000
295,7941,10,10,0,6576,0.965072,0.021032,0.048596,0.000923,0.030380,1.0000
296,7951,13,13,0,6589,0.965127,0.020989,0.048369,0.001120,0.030231,1.0000
297,7961,10,10,0,6599,0.965436,0.020794,0.048240,0.001148,0.030239,1.0000
298,7971,14,14,0,6613,0.965478,0.020765,0.048017,0.001312,0.030103,1.0000
299,7981,11,11,0,6624,0.965867,0.020519,0.047937,0.001318,0.030016,1.0000
300,7991,11,11,0,6635,0.965981,0.020456,0.047719,0.001321,0.030021,1.0000
301,8001,9,9,0,6644,0.966102,0.020383,0.047495,0.001251,0.030072,1.0000
302,8011,12,12,0,6656,0.966047,0.020423,0.047255,0.001310,0.029939,1.0000
303,8021,10,10,0,6666,0.966254,0.020296,0.047095,0.001278,0.029982,1.0000
304,8031,9,9,0,6675,0.966304,0.020257,0.046861,0.001220,0.030250,1.0000
305,8041,15,15,0,6690,0.966219,0.020336,0.046591,0.001394,0.030183,1.0000
306,8051,15,15,0,6705,0.966701,0.020025,0.046522,0.001516,0.029798,1.0000
307,8061,14,14,0,6719,0.967161,0.019740,0.046430,0.001565,0.029393,1.0000
308,8071,17,17,0,6736,0.967539,0.019505,0.046329,0.001707,0.029005,1.0000
309,8081,12,12,0,6748,0.968178,0.019098,0.046313,0.001626,0.028892,1.0000
310,8091,13,13,0,6761,0.968378,0.018976,0.046141,0.001605,0.028582,1.0000
311,8101,9,9,0,6770,0.968673,0.018788,0.045993,0.001447,0.028846,1.0000
312,8111,7,7,0,6777,0.968643,0.018794,0.045704,0.001263,0.028933,1.0000
313,8121,9,9,0,6786,0.968424,0.018934,0.045347,0.001206,0.028831,1.0000
314,8131,5,5,0,6791,0.968378,0.018960,0.045068,0.001023,0.029279,1.0000
315,8141,15,15,0,6806,0.967974,0.019226,0.044619,0.001251,0.028993,1.0000
316,8151,7,7,0,6813,0.968456,0.018907,0.044529,0.001125,0.029142,1.0000
317,8161,14,14,0,6827,0.968227,0.019058,0.044144,0.001286,0.029104,1.0000
318,8171,11,11,0,6838,0.968596,0.018827,0.044032,0.001291,0.028939,1.0000
319,8181,16,16,0,6854,0.968729,0.018736,0.043791,0.001472,0.028736,1.0000
320,8191,5,5,0,6859,0.969288,0.018369,0.043735,0.001208,0.028915,1.0000
321,8201,12,12,0,6871,0.968895,0.018621,0.043332,0.001271,0.028648,1.0000
322,8211,9,9,0,6880,0.969096,0.018495,0.043113,0.001208,0.028597,1.0000
323,8221,12,12,0,6892,0.969053,0.018518,0.042833,0.001270,0.028316,1.0000
324,8231,7,7,0,6899,0.969255,0.018391,0.042655,0.001136,0.028453,1.0000
325,8241,8,8,0,6907,0.969038,0.018527,0.042307,0.001078,0.028625,1.0000
326,8251,9,9,0,6916,0.968883,0.018640,0.041970,0.001071,0.028696,1.0000
327,8261,9,9,0,6925,0.968838,0.018664,0.041655,0.001067,0.028761,1.0000
328,8271,10,10,0,6935,0.968782,0.018706,0.041381,0.001098,0.028708,1.0000
329,8281,7,7,0,6942,0.968826,0.018671,0.041085,0.001014,0.028937,1.0000
330,8291,7,7,0,6949,0.968617,0.018799,0.040709,0.000955,0.029117,1.0000
331,8301,8,8,0,6957,0.968404,0.018933,0.040378,0.000949,0.029201,1.0000
332,8311,11,11,0,6968,0.968286,0.018999,0.040069,0.001049,0.029300,1.0000
333,8321,13,13,0,6981,0.968397,0.018934,0.039813,0.001188,0.028967,1.0000
334,8331,8,8,0,6989,0.968703,0.018727,0.039653,0.001111,0.028980,1.0000
335,8341,7,7,0,6996,0.968556,0.018831,0.039330,0.001021,0.029201,1.0000
336,8351,8,8,0,7004,0.968318,0.018997,0.038987,0.000993,0.029443,1.0000
337,8361,9,9,0,7013,0.968201,0.019063,0.038677,0.001008,0.029486,1.0000
338,8371,9,9,0,7022,0.968147,0.019101,0.038397,0.001018,0.029674,1.0000
339,8381,7,7,0,7029,0.968102,0.019127,0.038093,0.000955,0.029652,1.0000
340,8391,11,11,0,7040,0.967884,0.019267,0.037767,0.001049,0.029690,1.0000
341,8401,6,6,0,7046,0.968005,0.019189,0.037574,0.000942,0.029898,1.0000
342,8411,9,9,0,7055,0.967692,0.019397,0.037231,0.000970,0.029926,1.0000
343,8421,12,12,0,7067,0.967641,0.019434,0.036977,0.001093,0.029746,1.0000
344,8431,11,11,0,7078,0.967853,0.019291,0.036836,0.001144,0.029565,1.0000
345,8441,8,8,0,7086,0.967975,0.019211,0.036655,0.001076,0.029741,1.0000
346,8451,11,11,0,7097,0.967827,0.019319,0.036375,0.001131,0.029828,1.0000
347,8461,13,13,0,7110,0.967951,0.019236,0.036209,0.001238,0.029598,1.0000
348,8471,12,12,0,7122,0.968243,0.019043,0.036113,0.001278,0.029500,1.0000
349,8481,8,8,0,7130,0.968442,0.018917,0.036001,0.001169,0.029506,1.0000
350,8491,13,13,0,7143,0.968313,0.018998,0.035764,0.001263,0.029505,1.0000
351,8501,6,6,0,7149,0.968613,0.018796,0.035638,0.001089,0.029573,1.0000
352,8511,6,6,0,7155,0.968304,0.019004,0.035306,0.000967,0.029620,1.0000
353,8521,12,12,0,7167,0.967994,0.019212,0.035020,0.001086,0.029591,1.0000
354,8531,7,7,0,7174,0.968207,0.019066,0.034877,0.000999,0.029674,1.0000
355,8541,14,14,0,7188,0.967997,0.019200,0.034600,0.001175,0.029402,1.0000
356,8551,8,8,0,7196,0.968346,0.018984,0.034512,0.001094,0.029452,1.0000
357,8561,7,7,0,7203,0.968207,0.019080,0.034256,0.001003,0.029351,1.0000
358,8571,9,9,0,7212,0.968024,0.019182,0.033972,0.001007,0.029413,1.0000
359,8581,11,11,0,7223,0.967990,0.019195,0.033754,0.001077,0.029475,1.0000
360,8591,11,11,0,7234,0.968122,0.019102,0.033565,0.001126,0.029490,1.0000
361,8601,10,10,0,7244,0.968234,0.019034,0.033376,0.001126,0.029598,1.0000
362,8611,11,11,0,7255,0.968259,0.019024,0.033144,0.001159,0.029711,1.0000
363,8621,11,11,0,7266,0.968372,0.018953,0.032954,0.001182,0.029506,1.0000
364,8631,12,12,0,7278,0.968482,0.018885,0.032750,0.001231,0.029170,1.0000
365,8641,7,7,0,7285,0.968667,0.018772,0.032623,0.001097,0.029146,1.0000
366,8651,16,16,0,7301,0.968448,0.018921,0.032348,0.001306,0.028816,1.0000
367,8661,11,11,0,7312,0.968984,0.018567,0.032302,0.001283,0.028954,1.0000
368,8671,14,14,0,7326,0.969094,0.018502,0.032122,0.001368,0.028690,1.0000
369,8681,12,12,0,7338,0.969458,0.018260,0.032010,0.001359,0.028839,1.0000
